feature,mutual_info_rank,mi_score,perm_rank,rf_rank,avg_rank
person_income,2,0.09632138011966185,1,5,2.6666666666666665
loan_grade,4,0.08003308519843477,2,2,2.6666666666666665
loan_int_rate,3,0.08168227509567316,7,3,4.333333333333333
person_home_ownership,6,0.03834477083579846,4,4,4.666666666666667
person_income_log,1,0.09792098803105675,8,6,5.0
loan_percent_income,5,0.0789721618378929,10,1,5.333333333333333
loan_amnt,8,0.015509336050020028,3,7,6.0
loan_intent,10,0.0075449625039363255,9,8,9.0
person_age,12,0.00022334473138219124,5,11,9.333333333333334
cb_person_default_on_file,7,0.015862851587835403,12,10,9.666666666666666
person_emp_length,9,0.009186578981156712,11,9,9.666666666666666
cb_person_cred_hist_length,11,0.001980228695372954,6,12,9.666666666666666
