feature,mi_score,mi_normalized
person_income_log,0.09792098803105675,1.0
person_income,0.09632138011966185,0.9836642997220619
loan_int_rate,0.08168227509567316,0.8341651441442431
loan_grade,0.08003308519843477,0.8173230969958286
loan_percent_income,0.0789721618378929,0.8064886131750018
person_home_ownership,0.03834477083579846,0.3915888882129843
cb_person_default_on_file,0.015862851587835403,0.16199644128186613
loan_amnt,0.015509336050020028,0.15838622916162842
person_emp_length,0.009186578981156712,0.09381624068420433
loan_intent,0.0075449625039363255,0.07705153568858349
cb_person_cred_hist_length,0.001980228695372954,0.020222719717093766
person_age,0.00022334473138219124,0.0022808668077507034
